April/Apr.                                                  四月/四月。                                                                                                                  
sing                                                        唱歌                                                                                                                            
snow                                                        雪                                                                                                                               
shall                                                       將                                                                                                                               
stupid                                                      愚蠢的                                                                                                                         
sixty                                                       六十                                                                                                                            
sorry                                                       對不起                                                                                                                         
she                                                         她                                                                                                                               
self                                                        自己                                                                                                                            
seem                                                        似乎                                                                                                                            
sweet                                                       甜的                                                                                                                            
sell                                                        賣                                                                                                                               
six                                                         六                                                                                                                               
sometimes                                                   有時                                                                                                                            
seed                                                        種子                                                                                                                            
shake                                                       搖                                                                                                                               
speech                                                      演講                                                                                                                            
sound(2)                                                    聲音(2)                                                                                                                         
soul                                                        靈魂                                                                                                                            
sure                                                        當然                                                                                                                            
stand                                                       站立                                                                                                                            
son                                                         兒子                                                                                                                            
song                                                        歌曲                                                                                                                            
soon                                                        很快                                                                                                                            
street                                                      街道                                                                                                                            
seesaw                                                      蹺蹺板                                                                                                                         
selfish                                                     自私                                                                                                                            
sixteen                                                     十六                                                                                                                            
sugar                                                       糖                                                                                                                               
soup                                                        湯                                                                                                                               
shut                                                        關閉                                                                                                                            
strong                                                      強的                                                                                                                            
sofa                                                        沙發                                                                                                                            
soft                                                        柔軟的                                                                                                                         
simple                                                      簡單的                                                                                                                         
story(1)                                                    故事(1)                                                                                                                         
stay                                                        停留                                                                                                                            
still(1)                                                    仍然(1)                                                                                                                         
spoon                                                       勺子                                                                                                                            
spend                                                       花費                                                                                                                            
summer                                                      夏天                                                                                                                            
shoulder                                                    肩膀                                                                                                                            
set(1)                                                      設置(1)                                                                                                                         
smile                                                       微笑                                                                                                                            
super                                                       極好的                                                                                                                         
star                                                        星星                                                                                                                            
shine                                                       閃耀                                                                                                                            
speak                                                       說話                                                                                                                            
scene                                                       場景                                                                                                                            
short                                                       短的                                                                                                                            
seventeen                                                   十七                                                                                                                            
shape                                                       形狀                                                                                                                            
shout                                                       喊                                                                                                                               
start                                                       開始                                                                                                                            
surprise                                                    驚喜                                                                                                                            
ship                                                        船                                                                                                                               
state(1)                                                    狀態(1)                                                                                                                         
shoe(s)                                                     鞋）                                                                                                                            
step                                                        步                                                                                                                               
serve                                                       服務                                                                                                                            
spring(1)                                                   彈簧(1)                                                                                                                         
school                                                      學校                                                                                                                            
small                                                       小的                                                                                                                            
soil                                                        土壤                                                                                                                            
service                                                     服務                                                                                                                            
sea                                                         海                                                                                                                               
soda                                                        蘇打                                                                                                                            
special                                                     特別的                                                                                                                         
stair                                                       樓梯                                                                                                                            
slow                                                        減緩                                                                                                                            
smart                                                       聰明的                                                                                                                         
smell                                                       聞                                                                                                                               
shirt                                                       襯衫                                                                                                                            
seven                                                       七                                                                                                                               
supper                                                      晚餐                                                                                                                            
south                                                       南                                                                                                                               
save                                                        節省                                                                                                                            
stone                                                       結石                                                                                                                            
smoke                                                       抽煙                                                                                                                            
second(1)                                                   第二(1)                                                                                                                         
station                                                     車站                                                                                                                            
soap                                                        肥皂                                                                                                                            
saw                                                         鋸                                                                                                                               
seventy                                                     七十                                                                                                                            
silver                                                      銀                                                                                                                               
since                                                       自從                                                                                                                            
say                                                         說                                                                                                                               
sky                                                         天空                                                                                                                            
seat                                                        座位                                                                                                                            
sleep                                                       睡覺                                                                                                                            
shy                                                         害羞的                                                                                                                         
season                                                      季節                                                                                                                            
store                                                       店鋪                                                                                                                            
show                                                        節目                                                                                                                            
shot                                                        射擊                                                                                                                            
scare                                                       嚇                                                                                                                               
sun                                                         太陽                                                                                                                            
shore                                                       支撐                                                                                                                            
set(2)                                                      設置(2)                                                                                                                         
shop(1)/store                                               商店(1)/商店                                                                                                                  
student                                                     學生                                                                                                                            
touch                                                       觸碰                                                                                                                            
twice                                                       兩次                                                                                                                            
turn                                                        轉動                                                                                                                            
those                                                       那些                                                                                                                            
third                                                       第三                                                                                                                            
taxicab/taxi/cab                                            出租車/出租車/出租車                                                                                                     
to                                                          至                                                                                                                               
try                                                         嘗試                                                                                                                            
thirty                                                      三十                                                                                                                            
today                                                       今天                                                                                                                            
thirteen                                                    十三                                                                                                                            
taste                                                       品嚐                                                                                                                            
there                                                       那裡                                                                                                                            
ten                                                         十                                                                                                                               
think                                                       思考                                                                                                                            
ticket                                                      票                                                                                                                               
than                                                        比                                                                                                                               
teach                                                       教                                                                                                                               
train(2)                                                    火車(2)                                                                                                                         
thank                                                       感謝                                                                                                                            
thus                                                        因此                                                                                                                            
train(1)                                                    火車(1)                                                                                                                         
two                                                         二                                                                                                                               
tea                                                         茶                                                                                                                               
teacher                                                     老師                                                                                                                            
twenty                                                      二十                                                                                                                            
twelve                                                      十二                                                                                                                            
then                                                        然後                                                                                                                            
together                                                    一起                                                                                                                            
talk                                                        講話                                                                                                                            
time                                                        時間                                                                                                                            
thousand                                                    千                                                                                                                               
town                                                        鎮                                                                                                                               
that                                                        那                                                                                                                               
tell                                                        告訴                                                                                                                            
tiny                                                        微小的                                                                                                                         
they                                                        他們                                                                                                                            
tool                                                        工具                                                                                                                            
these                                                       這些                                                                                                                            
tie(1)                                                      領帶(1)                                                                                                                         
them                                                        他們                                                                                                                            
toy                                                         玩具                                                                                                                            
tree                                                        樹                                                                                                                               
tire(1)                                                     輪胎(1)                                                                                                                         
top                                                         最佳                                                                                                                            
three                                                       三                                                                                                                               
tall                                                        高                                                                                                                               
thought                                                     想法                                                                                                                            
tire(2)                                                     輪胎(2)                                                                                                                         
tie(2)                                                      領帶(2)                                                                                                                         
tummy                                                       肚子                                                                                                                            
toward(s)                                                   向）                                                                                                                            
their(s)                                                    他們的                                                                                                                         
thing                                                       事物                                                                                                                            
table                                                       桌子                                                                                                                            
tomorrow                                                    明天                                                                                                                            
too                                                         也                                                                                                                               
tiger                                                       老虎                                                                                                                            
though                                                      儘管                                                                                                                            
true                                                        真的                                                                                                                            
tone                                                        語氣                                                                                                                            
the                                                         這                                                                                                                               
this                                                        這個                                                                                                                            
trouble                                                     麻煩                                                                                                                            
total                                                       全部的                                                                                                                         
tail                                                        尾巴                                                                                                                            
trip                                                        旅行                                                                                                                            
tonight                                                     今晚                                                                                                                            
take                                                        拿                                                                                                                               
tale                                                        故事                                                                                                                            
throw                                                       扔                                                                                                                               
use                                                         利用                                                                                                                            
uncle                                                       叔叔                                                                                                                            
useful                                                      有用                                                                                                                            
us                                                          我們                                                                                                                            
upstairs                                                    樓上                                                                                                                            
under                                                       在下面                                                                                                                         
up                                                          向上                                                                                                                            
until/till                                                  直到/直到                                                                                                                     
unit                                                        單元                                                                                                                            
understand                                                  理解                                                                                                                            
visit                                                       訪問                                                                                                                            
voice                                                       嗓音                                                                                                                            
view                                                        看法                                                                                                                            
very(1)                                                     非常(1)                                                                                                                         
vegetable                                                   蔬菜                                                                                                                            
war                                                         戰爭                                                                                                                            
while(3)                                                    而(3)                                                                                                                            
water                                                       水                                                                                                                               
watch(2)                                                    觀看(2)                                                                                                                         
watch(1)                                                    觀看(1)                                                                                                                         
waste                                                       浪費                                                                                                                            
wash                                                        洗                                                                                                                               
way                                                         方法                                                                                                                            
we                                                          我們                                                                                                                            
weak                                                        虛弱的                                                                                                                         
warm                                                        溫暖的                                                                                                                         
wear                                                        穿                                                                                                                               
weather                                                     天氣                                                                                                                            
weight                                                      重量                                                                                                                            
want                                                        想                                                                                                                               
wall                                                        牆                                                                                                                               
walk                                                        走                                                                                                                               
wait                                                        等待                                                                                                                            
wedding                                                     婚禮                                                                                                                            
week                                                        星期                                                                                                                            
weekend                                                     週末                                                                                                                            
woman                                                       女士                                                                                                                            
weigh                                                       稱重                                                                                                                            
wrong                                                       錯誤的                                                                                                                         
world                                                       世界                                                                                                                            
whether                                                     無論                                                                                                                            
which                                                       哪個                                                                                                                            
while(1)                                                    而（1）                                                                                                                        
while(2)                                                    而(2)                                                                                                                            
worm                                                        蟲                                                                                                                               
worry                                                       擔心                                                                                                                            
worse                                                       更差                                                                                                                            
worst                                                       最差                                                                                                                            
white                                                       白色的                                                                                                                         
who                                                         誰                                                                                                                               
whole                                                       所有的                                                                                                                         
write                                                       寫                                                                                                                               
writer                                                      作家                                                                                                                            
welcome                                                     歡迎                                                                                                                            
whom                                                        誰                                                                                                                               
whose                                                       誰的                                                                                                                            
why                                                         為什麼                                                                                                                         
wide                                                        寬的                                                                                                                            
wife                                                        妻子                                                                                                                            
will(1)                                                     將(1)                                                                                                                            
will(2)                                                     將(2)                                                                                                                            
win                                                         贏                                                                                                                               
wind(1)                                                     風(1)                                                                                                                            
wind(2)                                                     風(2)                                                                                                                            
