Antarctic/antarctic                                         南極/南極                                                                                                                     
sneer                                                       冷笑                                                                                                                            
squad                                                       隊                                                                                                                               
snare                                                       圈套                                                                                                                            
smuggle                                                     走私                                                                                                                            
smother                                                     窒息                                                                                                                            
smallpox                                                    天花                                                                                                                            
smack                                                       啪                                                                                                                               
slum                                                        貧民窟                                                                                                                         
slot                                                        投幣口                                                                                                                         
slavery                                                     奴隸制                                                                                                                         
slash                                                       削減                                                                                                                            
stalk(2)                                                    莖(2)                                                                                                                            
spouse                                                      伴侶                                                                                                                            
spokesperson/spokesman/spokeswoman                          發言人/發言人/發言人                                                                                                     
spike                                                       長釘                                                                                                                            
sponsor                                                     贊助                                                                                                                            
spontaneous                                                 自發的                                                                                                                         
sphere                                                      領域                                                                                                                            
speculate                                                   推測                                                                                                                            
spectrum                                                    光譜                                                                                                                            
spectacular                                                 壯觀的                                                                                                                         
specify                                                     指定                                                                                                                            
specialty                                                   專業                                                                                                                            
slang                                                       俚語                                                                                                                            
specialize                                                  專攻                                                                                                                            
sprawl                                                      蔓延                                                                                                                            
span                                                        跨度                                                                                                                            
spacious                                                    寬敞                                                                                                                            
sovereignty                                                 主權                                                                                                                            
sophisticated                                               複雜的                                                                                                                         
soothe                                                      舒緩                                                                                                                            
solitude                                                    孤獨                                                                                                                            
solidarity                                                  團結                                                                                                                            
sodium                                                      鈉                                                                                                                               
steamer(2)                                                  蒸籠(2)                                                                                                                         
sewer                                                       下水道                                                                                                                         
setback                                                     挫折                                                                                                                            
stature                                                     身材                                                                                                                            
session                                                     會議                                                                                                                            
serving                                                     服務                                                                                                                            
serenity                                                    寧靜                                                                                                                            
serene                                                      安詳                                                                                                                            
sequence                                                    序列                                                                                                                            
sentimental                                                 多愁善感的                                                                                                                   
senator                                                     參議員                                                                                                                         
shed                                                        棚                                                                                                                               
seminar                                                     研討會                                                                                                                         
selective                                                   可選擇的                                                                                                                      
seduce                                                      勾引                                                                                                                            
sector                                                      部門                                                                                                                            
script                                                      腳本                                                                                                                            
scope                                                       範圍                                                                                                                            
scenic                                                      風景優美的                                                                                                                   
sanitation                                                  衛生                                                                                                                            
sane                                                        理智的                                                                                                                         
sanctuary                                                   避難所                                                                                                                         
signify                                                     表示                                                                                                                            
stammer                                                     結巴                                                                                                                            
skim                                                        撇去                                                                                                                            
skeptical                                                   懷疑的                                                                                                                         
simultaneous                                                同時                                                                                                                            
simplify                                                    簡化                                                                                                                            
staple                                                      主食                                                                                                                            
stapler                                                     訂書機                                                                                                                         
simplicity                                                  簡單                                                                                                                            
starch                                                      澱粉                                                                                                                            
silicon                                                     矽                                                                                                                               
spiral                                                      螺旋                                                                                                                            
siege                                                       圍城                                                                                                                            
starvation                                                  飢餓                                                                                                                            
shun                                                        順                                                                                                                               
shrewd                                                      精明                                                                                                                            
shoplift                                                    商店電梯                                                                                                                      
shilling                                                    先令                                                                                                                            
sheer                                                       純粹的                                                                                                                         
stationary                                                  靜止的                                                                                                                         
stationery                                                  靜止的                                                                                                                         
suffocate                                                   窒息                                                                                                                            
suspension                                                  暫停                                                                                                                            
suspense                                                    懸念                                                                                                                            
spire                                                       尖塔                                                                                                                            
succession                                                  演替                                                                                                                            
successive                                                  連續                                                                                                                            
successor                                                   接班人                                                                                                                         
surplus                                                     剩餘                                                                                                                            
surpass                                                     超過                                                                                                                            
subjective                                                  主觀                                                                                                                            
stunt                                                       特技                                                                                                                            
supplement                                                  補充                                                                                                                            
suite                                                       套房                                                                                                                            
supervision                                                 監督                                                                                                                            
superstitious                                               迷信的                                                                                                                         
supersonic                                                  超音速                                                                                                                         
superiority                                                 優勢                                                                                                                            
superb                                                      高超                                                                                                                            
suburban                                                    郊區的                                                                                                                         
subordinate                                                 下屬                                                                                                                            
symbolic                                                    象徵性的                                                                                                                      
symmetry                                                    對稱                                                                                                                            
subscribe                                                   訂閱                                                                                                                            
symptom                                                     症狀                                                                                                                            
synonym                                                     代名詞                                                                                                                         
synthetic                                                   合成的                                                                                                                         
substitution                                                替代                                                                                                                            
subtle                                                      微妙的                                                                                                                         
symbolize                                                   象徵                                                                                                                            
subscription                                                訂閱                                                                                                                            
swap                                                        交換                                                                                                                            
subsequent                                                  隨後的                                                                                                                         
trigger                                                     扳機                                                                                                                            
trivial                                                     瑣碎的                                                                                                                         
triumphant                                                  凱                                                                                                                               
texture                                                     質地                                                                                                                            
truce                                                       休戰                                                                                                                            
theatrical                                                  戲劇                                                                                                                            
theft                                                       盜竊                                                                                                                            
truant                                                      逃學                                                                                                                            
trespass                                                    侵入                                                                                                                            
theoretical                                                 理論上的                                                                                                                      
textile                                                     紡織品                                                                                                                         
trophy                                                      杯                                                                                                                               
tropic                                                      熱帶                                                                                                                            
terminate                                                   終止                                                                                                                            
tuberculosis                                                結核                                                                                                                            
tumor                                                       瘤                                                                                                                               
tempest                                                     暴風雨                                                                                                                         
turmoil                                                     動盪                                                                                                                            
temperament                                                 氣質                                                                                                                            
twilight                                                    暮                                                                                                                               
tact                                                        機智                                                                                                                            
tactic(s)                                                   策略）                                                                                                                         
tedious                                                     乏味                                                                                                                            
tyranny                                                     暴政                                                                                                                            
tariff                                                      關稅                                                                                                                            
transformation                                              轉型                                                                                                                            
trauma                                                      創傷                                                                                                                            
transplant                                                  移植                                                                                                                            
transmit                                                    發送                                                                                                                            
transmission                                                傳播                                                                                                                            
tornado                                                     龍捲風                                                                                                                         
transition                                                  過渡                                                                                                                            
transit                                                     過境                                                                                                                            
transistor                                                  晶體管                                                                                                                         
tremor                                                      震顫                                                                                                                            
transcript                                                  成績單                                                                                                                         
transaction                                                 交易                                                                                                                            
tranquilizer                                                鎮靜劑                                                                                                                         
tranquil                                                    寧靜                                                                                                                            
trait                                                       特徵                                                                                                                            
threshold                                                   臨界點                                                                                                                         
thrift                                                      節約                                                                                                                            
throb                                                       搏動                                                                                                                            
thereby                                                     從而                                                                                                                            
toll(2)                                                     通行費(2)                                                                                                                      
thrive                                                      蓬勃發展                                                                                                                      
topple                                                      傾覆                                                                                                                            
therapist                                                   治療師                                                                                                                         
toll(1)                                                     通行費(1)                                                                                                                      
trek                                                        跋涉                                                                                                                            
therapy                                                     治療                                                                                                                            
thereafter                                                  此後                                                                                                                            
thermometer                                                 溫度計                                                                                                                         
thrifty                                                     節儉                                                                                                                            
tread                                                       踏                                                                                                                               
treason                                                     叛國罪                                                                                                                         
uphold                                                      堅持                                                                                                                            
uncover                                                     揭露                                                                                                                            
unfold                                                      展開                                                                                                                            
underestimate                                               低估                                                                                                                            
unanimous                                                   一致                                                                                                                            
upgrade                                                     升級                                                                                                                            
unify                                                       統一                                                                                                                            
unemployment                                                失業                                                                                                                            
upbringing                                                  教養                                                                                                                            
unpack                                                      打開包裝                                                                                                                      
undergo                                                     經歷                                                                                                                            
unlock                                                      開鎖                                                                                                                            
undo                                                        撤消                                                                                                                            
undermine                                                   破壞                                                                                                                            
undertake                                                   承擔                                                                                                                            
uranium                                                     鈾                                                                                                                               
ulcer                                                       潰瘍                                                                                                                            
urgency                                                     緊迫感                                                                                                                         
urine                                                       尿                                                                                                                               
ultimate                                                    最終的                                                                                                                         
usher                                                       招待員                                                                                                                         
utensil                                                     用具                                                                                                                            
utility                                                     效用                                                                                                                            
utilize                                                     利用                                                                                                                            
utmost                                                      最大限度                                                                                                                      
vaccine                                                     疫苗                                                                                                                            
valiant                                                     英勇                                                                                                                            
valid                                                       有效的                                                                                                                         
validity                                                    有效性                                                                                                                         
vendor                                                      小販                                                                                                                            
vanilla                                                     香草                                                                                                                            
vend                                                        鬻                                                                                                                               
variable                                                    多變的                                                                                                                         
variation                                                   變化                                                                                                                            
versatile                                                   多才多藝的                                                                                                                   
vocal                                                       人聲                                                                                                                            
vocation                                                    職業                                                                                                                            
vitality                                                    活力                                                                                                                            
vocational                                                  職業的                                                                                                                         
visualize                                                   可視化                                                                                                                         
vogue                                                       時尚                                                                                                                            
vomit                                                       嘔吐                                                                                                                            
virtual                                                     虛擬的                                                                                                                         
vulgar                                                      庸俗                                                                                                                            
vulnerable                                                  易受傷害的                                                                                                                   
vineyard                                                    葡萄園                                                                                                                         
villa                                                       別墅                                                                                                                            
victorious                                                  勝利的                                                                                                                         
victor                                                      勝利者                                                                                                                         
victimize                                                   受害                                                                                                                            
verge                                                       邊緣                                                                                                                            
vicious                                                     惡毒                                                                                                                            
version                                                     版本                                                                                                                            
vice                                                        副                                                                                                                               
vibration                                                   振動                                                                                                                            
veterinarian/vet                                            獸醫/獸醫                                                                                                                     
veteran                                                     老將                                                                                                                            
whatsoever                                                  任何                                                                                                                            
waterproof/watertight                                       防水/水密                                                                                                                     
wardrobe                                                    衣櫃                                                                                                                            
wrestle                                                     搏鬥                                                                                                                            
windshield                                                  擋風玻璃                                                                                                                      
wrench                                                      扳手                                                                                                                            
warfare                                                     戰爭                                                                                                                            
withstand                                                   經受                                                                                                                            
witty                                                       機智                                                                                                                            
woo                                                         求愛                                                                                                                            
warranty                                                    保修單                                                                                                                         
yearn                                                       嚮往                                                                                                                            
zeal                                                        熱情                                                                                                                            
