Confucius                                                   孔子                                                                                                                            
rather                                                      相當                                                                                                                            
relationship                                                關係                                                                                                                            
restroom/rest_room                                          洗手間/休息室                                                                                                               
refrigerator/fridge/icebox                                  冰箱/冰箱/冰箱                                                                                                              
record(1)                                                   記錄(1)                                                                                                                         
reality                                                     現實                                                                                                                            
record(2)                                                   記錄(2)                                                                                                                         
sauce                                                       醬                                                                                                                               
stick(2)                                                    棒(2)                                                                                                                            
similar                                                     相似的                                                                                                                         
stress                                                      壓力                                                                                                                            
spirit                                                      精神                                                                                                                            
swan                                                        天鵝                                                                                                                            
solution                                                    解決方案                                                                                                                      
stove                                                       火爐                                                                                                                            
spider                                                      蜘蛛                                                                                                                            
shelf                                                       架子                                                                                                                            
sidewalk                                                    人行道                                                                                                                         
squirrel                                                    松鼠                                                                                                                            
single                                                      單身的                                                                                                                         
swing                                                       搖擺                                                                                                                            
subway                                                      地鐵                                                                                                                            
square                                                      正方形                                                                                                                         
silent                                                      沉默的                                                                                                                         
solve                                                       解決                                                                                                                            
stranger                                                    陌生人                                                                                                                         
society                                                     社會                                                                                                                            
selection                                                   選擇                                                                                                                            
strike                                                      罷工                                                                                                                            
spread                                                      傳播                                                                                                                            
steel                                                       鋼                                                                                                                               
skillful/skilled                                            熟練的/熟練的                                                                                                               
social                                                      社會的                                                                                                                         
sudden                                                      突然的                                                                                                                         
storm                                                       風暴                                                                                                                            
steak                                                       牛扒                                                                                                                            
support                                                     支持                                                                                                                            
southern                                                    南部                                                                                                                            
supply                                                      供應                                                                                                                            
symbol                                                      象徵                                                                                                                            
snowy                                                       下雪的                                                                                                                         
stamp                                                       郵票                                                                                                                            
straight                                                    直的                                                                                                                            
salad                                                       沙拉                                                                                                                            
suit(1)                                                     套裝(1)                                                                                                                         
swallow(1)                                                  吞下去(1)                                                                                                                      
servant                                                     僕人                                                                                                                            
succeed                                                     成功                                                                                                                            
serious                                                     嚴肅的                                                                                                                         
satisfy                                                     滿足                                                                                                                            
skirt                                                       短裙                                                                                                                            
sort                                                        種類                                                                                                                            
science                                                     科學                                                                                                                            
spot                                                        點                                                                                                                               
silence                                                     安靜                                                                                                                            
select                                                      選擇                                                                                                                            
survive                                                     存活                                                                                                                            
success                                                     成功                                                                                                                            
shrimp                                                      蝦                                                                                                                               
successful                                                  成功的                                                                                                                         
suit(2)                                                     套裝(2)                                                                                                                         
skinny                                                      瘦骨嶙峋的                                                                                                                   
semester                                                    學期                                                                                                                            
shorts                                                      短褲                                                                                                                            
sign                                                        符號                                                                                                                            
somebody                                                    某人                                                                                                                            
swallow(2)                                                  吞下去(2)                                                                                                                      
sailor                                                      水手                                                                                                                            
screen                                                      屏幕                                                                                                                            
settle(ment)                                                沉降）                                                                                                                         
spelling                                                    拼寫                                                                                                                            
separate                                                    分離                                                                                                                            
strawberry                                                  草莓                                                                                                                            
string                                                      細繩                                                                                                                            
subtract                                                    減去                                                                                                                            
subject                                                     主題                                                                                                                            
slide                                                       滑動                                                                                                                            
somewhere                                                   某處                                                                                                                            
slipper(s)                                                  拖鞋）                                                                                                                         
shock                                                       震驚                                                                                                                            
search                                                      搜索                                                                                                                            
slender                                                     苗條的                                                                                                                         
section                                                     部分                                                                                                                            
source                                                      資源                                                                                                                            
shoot                                                       射擊                                                                                                                            
spring(2)                                                   彈簧(2)                                                                                                                         
surface                                                     表面                                                                                                                            
secret                                                      秘密                                                                                                                            
stream                                                      溪流                                                                                                                            
supermarket                                                 超級市場                                                                                                                      
speaker                                                     揚聲器                                                                                                                         
scientist                                                   科學家                                                                                                                         
steal                                                       偷                                                                                                                               
straw                                                       稻草                                                                                                                            
scissors                                                    剪刀                                                                                                                            
shell                                                       殼                                                                                                                               
struggle                                                    鬥爭                                                                                                                            
stretch                                                     拉緊                                                                                                                            
secretary                                                   秘書                                                                                                                            
slip                                                        滑                                                                                                                               
sandwich                                                    三明治                                                                                                                         
stomach                                                     胃                                                                                                                               
slim                                                        瘦                                                                                                                               
silk                                                        絲綢                                                                                                                            
stick(1)                                                    棒(1)                                                                                                                            
share                                                       分享                                                                                                                            
sink(2)                                                     水槽(2)                                                                                                                         
standard                                                    標準                                                                                                                            
speed                                                       速度                                                                                                                            
simply                                                      簡單地                                                                                                                         
stage                                                       階段                                                                                                                            
soccer                                                      足球                                                                                                                            
soybean/soya_bean/soy                                       大豆/soya_bean/大豆                                                                                                           
score                                                       分數                                                                                                                            
spinach                                                     菠菜                                                                                                                            
snack                                                       小吃                                                                                                                            
salty                                                       咸                                                                                                                               
soldier                                                     士兵                                                                                                                            
sock(s)                                                     襪子）                                                                                                                         
sink(1)                                                     水槽(1)                                                                                                                         
safety                                                      安全                                                                                                                            
shower                                                      淋浴                                                                                                                            
snail                                                       蝸牛                                                                                                                            
sunny                                                       晴天                                                                                                                            
sleepy                                                      困                                                                                                                               
sample                                                      樣本                                                                                                                            
strict                                                      嚴格的                                                                                                                         
sweater                                                     毛衣                                                                                                                            
sweep                                                       掃                                                                                                                               
steam                                                       蒸汽                                                                                                                            
trousers                                                    褲子                                                                                                                            
tennis                                                      網球                                                                                                                            
test                                                        測試                                                                                                                            
terrific                                                    了不起                                                                                                                         
teen(s)                                                     青少年）                                                                                                                      
talent                                                      天賦                                                                                                                            
team                                                        團隊                                                                                                                            
terrible                                                    糟糕的                                                                                                                         
trumpet                                                     喇叭                                                                                                                            
telephone/phone                                             電話/電話                                                                                                                     
theater                                                     劇院                                                                                                                            
truck                                                       卡車                                                                                                                            
track                                                       追踪                                                                                                                            
travel                                                      旅行                                                                                                                            
therefore                                                   所以                                                                                                                            
tomato                                                      番茄                                                                                                                            
trade                                                       貿易                                                                                                                            
trick                                                       詭計                                                                                                                            
triangle                                                    三角形                                                                                                                         
tongue                                                      舌頭                                                                                                                            
treasure                                                    寶藏                                                                                                                            
throat                                                      喉                                                                                                                               
teenage                                                     青少年                                                                                                                         
toast                                                       吐司                                                                                                                            
toilet                                                      洗手間                                                                                                                         
tower                                                       塔                                                                                                                               
term                                                        學期                                                                                                                            
temple                                                      寺廟                                                                                                                            
traffic                                                     交通                                                                                                                            
tunnel                                                      隧道                                                                                                                            
tangerine                                                   柑橘                                                                                                                            
turkey                                                      火雞                                                                                                                            
thirsty                                                     渴                                                                                                                               
tank                                                        坦克                                                                                                                            
turtle                                                      龜                                                                                                                               
tip                                                         小費                                                                                                                            
tent                                                        帳篷                                                                                                                            
tofu/bean_curd                                              豆腐/豆腐                                                                                                                     
traditional                                                 傳統的                                                                                                                         
tour                                                        旅遊                                                                                                                            
textbook                                                    教科書                                                                                                                         
treat(2)                                                    對待(2)                                                                                                                         
tasty                                                       可口                                                                                                                            
throughout                                                  始終                                                                                                                            
type(1)                                                     類型(1)                                                                                                                         
thunder                                                     雷                                                                                                                               
tradition                                                   傳統                                                                                                                            
title                                                       標題                                                                                                                            
tape                                                        膠帶                                                                                                                            
thumb                                                       拇指                                                                                                                            
toe                                                         腳趾                                                                                                                            
thick                                                       厚的                                                                                                                            
television/TV                                               電視/電視                                                                                                                     
type(2)                                                     類型(2)                                                                                                                         
typhoon                                                     颱風                                                                                                                            
through                                                     通過                                                                                                                            
tooth                                                       齒                                                                                                                               
towel                                                       毛巾                                                                                                                            
topic                                                       話題                                                                                                                            
talkative                                                   健談的                                                                                                                         
trust                                                       相信                                                                                                                            
truth                                                       真相                                                                                                                            
thief                                                       賊                                                                                                                               
target                                                      目標                                                                                                                            
treat(1)(ment)                                              治療(1)(ment)                                                                                                                   
teenager                                                    青少年                                                                                                                         
tear(2)                                                     眼淚(2)                                                                                                                         
tear(1)                                                     眼淚(1)                                                                                                                         
tube                                                        管子                                                                                                                            
thin                                                        薄的                                                                                                                            
task                                                        任務                                                                                                                            
trial                                                       審判                                                                                                                            
trap                                                        陷阱                                                                                                                            
upon                                                        之上                                                                                                                            
upper                                                       上                                                                                                                               
underwear                                                   內衣                                                                                                                            
used                                                        用過的                                                                                                                         
uniform                                                     制服                                                                                                                            
ugly                                                        醜陋的                                                                                                                         
umbrella                                                    傘                                                                                                                               
used_to(1)                                                  習慣了（1）                                                                                                                  
used_to(2)                                                  習慣了（2）                                                                                                                  
usual                                                       通常                                                                                                                            
user                                                        用戶                                                                                                                            
voter                                                       選民                                                                                                                            
value                                                       價值                                                                                                                            
valley                                                      谷                                                                                                                               
village                                                     村莊                                                                                                                            
vote                                                        投票                                                                                                                            
vocabulary                                                  詞彙                                                                                                                            
victory                                                     勝利                                                                                                                            
visitor                                                     遊客                                                                                                                            
volleyball                                                  排球                                                                                                                            
vacation                                                    假期                                                                                                                            
violin                                                      小提琴                                                                                                                         
video                                                       視頻                                                                                                                            
willing                                                     願意的                                                                                                                         
wire                                                        金屬絲                                                                                                                         
worth                                                       值得                                                                                                                            
windy                                                       有風的                                                                                                                         
winner                                                      優勝者                                                                                                                         
wing                                                        翅膀                                                                                                                            
widen                                                       擴大                                                                                                                            
width                                                       寬度                                                                                                                            
wed                                                         星期三                                                                                                                         
