AIDS/acquired_immune_deficiency_syndrome                    艾滋病/獲得性免疫缺陷綜合症                                                                                          
popularity                                                  知名度                                                                                                                         
prosper                                                     繁榮                                                                                                                            
portable                                                    便攜的                                                                                                                         
partial                                                     部分的                                                                                                                         
paragraph                                                   段落                                                                                                                            
parachute                                                   降落傘                                                                                                                         
pace                                                        步伐                                                                                                                            
participle                                                  分詞                                                                                                                            
panel                                                       控制板                                                                                                                         
participation                                               參與                                                                                                                            
quake                                                       地震                                                                                                                            
quotation                                                   引述                                                                                                                            
quilt                                                       被子                                                                                                                            
research                                                    研究                                                                                                                            
romance                                                     浪漫                                                                                                                            
reform                                                      改革                                                                                                                            
refugee                                                     難民                                                                                                                            
reception                                                   接待                                                                                                                            
recall                                                      記起                                                                                                                            
researcher                                                  研究員                                                                                                                         
refresh(ment)                                               刷新（ment）                                                                                                                  
resign                                                      辭職                                                                                                                            
refusal                                                     拒絕                                                                                                                            
rage                                                        憤怒                                                                                                                            
rescue                                                      救援                                                                                                                            
ruin                                                        廢墟                                                                                                                            
regarding                                                   關於                                                                                                                            
rebel(2)/revolt                                             反抗者(2)/起義                                                                                                               
rebel(1)                                                    反叛者(1)                                                                                                                      
rainfall                                                    雨量                                                                                                                            
register                                                    登記                                                                                                                            
registration                                                登記                                                                                                                            
resignation                                                 辭職                                                                                                                            
recycle                                                     回收                                                                                                                            
resistance                                                  反抗                                                                                                                            
recreation                                                  娛樂                                                                                                                            
recovery                                                    恢復                                                                                                                            
rural                                                       鄉村的                                                                                                                         
reduction                                                   減少                                                                                                                            
resolution                                                  解析度                                                                                                                         
resolve                                                     解決                                                                                                                            
refer                                                       參考                                                                                                                            
reference                                                   參考                                                                                                                            
resemble                                                    類似                                                                                                                            
recognition                                                 認出                                                                                                                            
repetition                                                  重複                                                                                                                            
recite                                                      背誦                                                                                                                            
respectable                                                 可敬                                                                                                                            
reflect                                                     反映                                                                                                                            
respectful                                                  尊敬的                                                                                                                         
reluctant                                                   不情願的                                                                                                                      
reflection                                                  反射                                                                                                                            
recipe                                                      食譜                                                                                                                            
reservation                                                 預訂                                                                                                                            
revolutionary                                               革命性的                                                                                                                      
retire(ment)                                                退休）                                                                                                                         
rhythm                                                      韻律                                                                                                                            
retreat                                                     撤退                                                                                                                            
rhyme                                                       韻                                                                                                                               
reunion                                                     團圓                                                                                                                            
revenge                                                     復仇                                                                                                                            
relative(1)                                                 親戚(1)                                                                                                                         
relative(2)                                                 親戚(2)                                                                                                                         
reward                                                      報酬                                                                                                                            
restriction                                                 限制                                                                                                                            
revolution                                                  革命                                                                                                                            
realistic                                                   實際的                                                                                                                         
roughly                                                     大致                                                                                                                            
relaxation                                                  鬆弛                                                                                                                            
representation                                              表示                                                                                                                            
revision                                                    修訂                                                                                                                            
revise                                                      修訂                                                                                                                            
route                                                       路線                                                                                                                            
regulate                                                    調節                                                                                                                            
rejection                                                   拒絕                                                                                                                            
remedy                                                      補救                                                                                                                            
remarkable                                                  卓越                                                                                                                            
reputation                                                  名聲                                                                                                                            
relieve                                                     緩解                                                                                                                            
restore                                                     恢復                                                                                                                            
regulation                                                  規定                                                                                                                            
remark                                                      評論                                                                                                                            
retain                                                      保持                                                                                                                            
status                                                      地位                                                                                                                            
syllable                                                    音節                                                                                                                            
splendid                                                    燦爛                                                                                                                            
spiritual                                                   精神                                                                                                                            
settler                                                     定居者                                                                                                                         
stingy                                                      小氣                                                                                                                            
shelter                                                     庇護所                                                                                                                         
scarcely                                                    幾乎沒有                                                                                                                      
sacrifice                                                   犧牲                                                                                                                            
surf                                                        衝浪                                                                                                                            
summarize                                                   總結                                                                                                                            
severe                                                      嚴重的                                                                                                                         
sledge/sled                                                 雪橇/雪橇                                                                                                                     
slogan                                                      口號                                                                                                                            
slight                                                      輕微                                                                                                                            
species                                                     物種                                                                                                                            
surgery                                                     手術                                                                                                                            
sleigh                                                      雪橇                                                                                                                            
sneeze                                                      噴嚏                                                                                                                            
sportsmanship                                               體育精神                                                                                                                      
submarine                                                   潛艇                                                                                                                            
surgeon                                                     外科醫生                                                                                                                      
systematic                                                  系統的                                                                                                                         
satellite                                                   衛星                                                                                                                            
sparkle                                                     火花                                                                                                                            
shift                                                       轉移                                                                                                                            
spark                                                       火花                                                                                                                            
spare                                                       空閒的                                                                                                                         
strengthen                                                  加強                                                                                                                            
socket                                                      插座                                                                                                                            
solar                                                       太陽的                                                                                                                         
sparrow                                                     麻雀                                                                                                                            
split                                                       分裂                                                                                                                            
scold                                                       罵                                                                                                                               
sophomore                                                   二年級                                                                                                                         
satisfaction                                                滿意                                                                                                                            
sportsman/sportswoman                                       運動員                                                                                                                         
salesperson/salesman/saleswoman                             售貨員/售貨員/售貨員                                                                                                     
salary                                                      薪水                                                                                                                            
suggestion                                                  建議                                                                                                                            
syrup                                                       糖漿                                                                                                                            
sorrowful                                                   悲傷                                                                                                                            
senior                                                      高級的                                                                                                                         
symphony                                                    交響樂                                                                                                                         
sympathy                                                    同情                                                                                                                            
smog                                                        煙霧                                                                                                                            
scenery                                                     風景                                                                                                                            
spear                                                       矛                                                                                                                               
sympathetic                                                 同情的                                                                                                                         
software                                                    軟件                                                                                                                            
shameful                                                    可恥                                                                                                                            
spicy                                                       辛辣的                                                                                                                         
signature                                                   簽名                                                                                                                            
significance                                                意義                                                                                                                            
surroundings                                                環境                                                                                                                            
seagull/gull                                                海鷗/海鷗                                                                                                                     
strive                                                      努力                                                                                                                            
shrug                                                       聳肩                                                                                                                            
sway                                                        搖擺                                                                                                                            
shortsighted                                                短視的                                                                                                                         
screwdriver                                                 螺絲刀                                                                                                                         
sketch                                                      草圖                                                                                                                            
sculpture                                                   雕塑                                                                                                                            
stroke(1)                                                   中風(1)                                                                                                                         
suspicious                                                  可疑的                                                                                                                         
sincerity                                                   誠意                                                                                                                            
singular                                                    單數                                                                                                                            
site                                                        地點                                                                                                                            
stroke(2)                                                   中風(2)                                                                                                                         
souvenir                                                    紀念品                                                                                                                         
stem                                                        幹                                                                                                                               
shaver                                                      剃須刀                                                                                                                         
surrender                                                   投降                                                                                                                            
sob                                                         哭泣                                                                                                                            
scratch                                                     刮                                                                                                                               
sightseeing                                                 觀光                                                                                                                            
shuttle                                                     穿梭                                                                                                                            
transportation                                              運輸                                                                                                                            
tremendous                                                  巨大的                                                                                                                         
triumph                                                     勝利                                                                                                                            
tough                                                       艱難的                                                                                                                         
technician                                                  技術員                                                                                                                         
tragic                                                      悲慘                                                                                                                            
tiresome                                                    煩人的                                                                                                                         
technological                                               技術的                                                                                                                         
tolerant                                                    寬容                                                                                                                            
thoughtful                                                  周到                                                                                                                            
tomb                                                        墓                                                                                                                               
tendency                                                    趨勢                                                                                                                            
theme                                                       主題                                                                                                                            
telegraph                                                   電報                                                                                                                            
troublesome                                                 麻煩的                                                                                                                         
tolerance                                                   寬容                                                                                                                            
tension                                                     緊張                                                                                                                            
twinkle                                                     閃爍                                                                                                                            
tolerable                                                   可容忍的                                                                                                                      
tug-of-war                                                  拔河                                                                                                                            
tragedy                                                     悲劇                                                                                                                            
telescope                                                   望遠鏡                                                                                                                         
tense                                                       緊張                                                                                                                            
typist                                                      打字員                                                                                                                         
thorough                                                    徹底                                                                                                                            
tap(2)                                                      點擊(2)                                                                                                                         
telegram                                                    電報                                                                                                                            
transfer                                                    轉移                                                                                                                            
tolerate                                                    容忍                                                                                                                            
terror                                                      恐怖                                                                                                                            
translate                                                   翻譯                                                                                                                            
timid                                                       膽小                                                                                                                            
terrify                                                     嚇壞了                                                                                                                         
translation                                                 翻譯                                                                                                                            
tribal                                                      部落的                                                                                                                         
translator                                                  譯者                                                                                                                            
transform                                                   轉換                                                                                                                            
usage                                                       用法                                                                                                                            
universal                                                   普遍的                                                                                                                         
unique                                                      獨特的                                                                                                                         
upload                                                      上傳                                                                                                                            
university                                                  大學                                                                                                                            
urgent                                                      緊迫的                                                                                                                         
underpass                                                   地下通道                                                                                                                      
urge                                                        敦促                                                                                                                            
urban                                                       城市的                                                                                                                         
vessel                                                      血管                                                                                                                            
voyage                                                      航程                                                                                                                            
vowel                                                       元音                                                                                                                            
very(2)                                                     非常（2）                                                                                                                     
verb                                                        動詞                                                                                                                            
vain                                                        徒勞的                                                                                                                         
volunteer                                                   志願者                                                                                                                         
voluntary                                                   自主性                                                                                                                         
volcano                                                     火山                                                                                                                            
vast                                                        廣闊的                                                                                                                         
vegetarian                                                  素食主義者                                                                                                                   
virtue                                                      美德                                                                                                                            
visual                                                      視覺的                                                                                                                         
virus                                                       病毒                                                                                                                            
vital                                                       重要                                                                                                                            
vinegar                                                     尖酸刻薄                                                                                                                      
virgin                                                      處女                                                                                                                            
violate                                                     違反                                                                                                                            
violation                                                   違反                                                                                                                            
weekly                                                      每週                                                                                                                            
walnut                                                      核桃                                                                                                                            
welfare                                                     福利                                                                                                                            
witch/wizard                                                女巫/巫師                                                                                                                     
wrinkle                                                     皺紋                                                                                                                            
witness                                                     見證                                                                                                                            
wit                                                         機智                                                                                                                            
wreck                                                       破壞                                                                                                                            
website                                                     網站                                                                                                                            
withdraw                                                    提取                                                                                                                            
