AI/artificial_intelligence                                  人工智能/人工智能                                                                                                         
soak                                                        浸泡                                                                                                                            
sponge                                                      海綿                                                                                                                            
spectacle                                                   奇觀                                                                                                                            
silkworm                                                    蠶                                                                                                                               
sole(1)                                                     鞋底(1)                                                                                                                         
stake                                                       賭注                                                                                                                            
spur                                                        鞭策                                                                                                                            
sloppy                                                      草率的                                                                                                                         
sober                                                       清醒                                                                                                                            
splendor                                                    輝煌                                                                                                                            
strap                                                       帶子                                                                                                                            
spectator                                                   觀眾                                                                                                                            
spine                                                       脊柱                                                                                                                            
solemn                                                      莊嚴                                                                                                                            
smash                                                       粉碎                                                                                                                            
slay                                                        誅戮                                                                                                                            
slaughter                                                   屠宰                                                                                                                            
squat                                                       蹲                                                                                                                               
stalk(1)                                                    莖(1)                                                                                                                            
slap                                                        拍擊                                                                                                                            
stall                                                       攤位                                                                                                                            
slam                                                        猛擊                                                                                                                            
solitary                                                    孤                                                                                                                               
snarl                                                       咆哮                                                                                                                            
skull                                                       顱骨                                                                                                                            
squash(1)                                                   壁球(1)                                                                                                                         
sprint                                                      短跑                                                                                                                            
solo                                                        獨奏                                                                                                                            
sow                                                         母豬                                                                                                                            
sovereign                                                   主權的                                                                                                                         
skeleton                                                    骨骼                                                                                                                            
spotlight                                                   聚光燈                                                                                                                         
snort                                                       哼哼                                                                                                                            
snore                                                       鼾                                                                                                                               
sniff                                                       聞                                                                                                                               
simmer                                                      煨                                                                                                                               
stain                                                       弄髒                                                                                                                            
soften                                                      軟化                                                                                                                            
specimen                                                    樣品                                                                                                                            
stanza                                                      節                                                                                                                               
sly                                                         狡猾                                                                                                                            
stack                                                       堆                                                                                                                               
specialist                                                  專家                                                                                                                            
sneaker(s)                                                  運動鞋）                                                                                                                      
sneak                                                       潛行                                                                                                                            
stagger                                                     錯開                                                                                                                            
spacecraft/spaceship                                        航天器/宇宙飛船                                                                                                            
snatch                                                      搶奪                                                                                                                            
storage                                                     貯存                                                                                                                            
stern                                                       船尾                                                                                                                            
stereotype                                                  刻板印象                                                                                                                      
sandal                                                      涼鞋                                                                                                                            
savage                                                      野蠻的                                                                                                                         
scan                                                        掃描                                                                                                                            
scandal                                                     醜聞                                                                                                                            
startle                                                     驚嚇                                                                                                                            
scar                                                        瘢痕                                                                                                                            
stoop                                                       哈腰                                                                                                                            
scent                                                       香味                                                                                                                            
scheme                                                      方案                                                                                                                            
stew                                                        燉                                                                                                                               
scorn                                                       輕蔑                                                                                                                            
scramble                                                    爭奪                                                                                                                            
scrap                                                       廢料                                                                                                                            
scrape                                                      刮                                                                                                                               
scroll                                                      滾動                                                                                                                            
sculptor                                                    雕塑家                                                                                                                         
secure                                                      安全的                                                                                                                         
steer                                                       駕駛                                                                                                                            
segment                                                     部分                                                                                                                            
substitute                                                  代替                                                                                                                            
substantial                                                 重大的                                                                                                                         
suspend                                                     暫停                                                                                                                            
superstition                                                迷信                                                                                                                            
supervise                                                   監督                                                                                                                            
stock(1)                                                    存貨(1)                                                                                                                         
supervisor                                                  導師                                                                                                                            
superficial                                                 淺                                                                                                                               
summon                                                      召喚                                                                                                                            
sulfur                                                      硫                                                                                                                               
suppress                                                    壓制                                                                                                                            
supreme                                                     最高                                                                                                                            
stink                                                       臭                                                                                                                               
surge                                                       湧                                                                                                                               
stray                                                       流浪                                                                                                                            
sustain                                                     支持                                                                                                                            
swamp                                                       沼澤                                                                                                                            
swarm                                                       一群                                                                                                                            
suitcase                                                    手提箱                                                                                                                         
sacred                                                      神聖                                                                                                                            
saddle                                                      鞍                                                                                                                               
saint                                                       聖                                                                                                                               
sympathize                                                  同情                                                                                                                            
salmon                                                      三文魚                                                                                                                         
steward/stewardess/attendant                                空姐/空姐/服務員                                                                                                           
salute                                                      禮炮                                                                                                                            
stumble                                                     絆倒                                                                                                                            
sharpen                                                     銳化                                                                                                                            
stout                                                       肥碩                                                                                                                            
shudder                                                     不寒而栗                                                                                                                      
shatter                                                     粉碎                                                                                                                            
shrub                                                       灌木                                                                                                                            
statistic(s)                                                統計數據）                                                                                                                   
shrine                                                      神社                                                                                                                            
stun                                                        擊暈                                                                                                                            
sheriff                                                     治安官                                                                                                                         
stump                                                       樹樁                                                                                                                            
shield                                                      盾                                                                                                                               
statesman                                                   政治家                                                                                                                         
shabby                                                      破舊                                                                                                                            
straighten                                                  拉直                                                                                                                            
structural                                                  結構的                                                                                                                         
stroll                                                      漫步                                                                                                                            
shiver                                                      顫抖                                                                                                                            
straightforward                                             直截了當                                                                                                                      
shortage                                                    短缺                                                                                                                            
shortcoming                                                 缺點                                                                                                                            
shove                                                       推                                                                                                                               
shred                                                       撕碎                                                                                                                            
shriek                                                      尖叫                                                                                                                            
stripe                                                      條紋                                                                                                                            
statistical                                                 統計                                                                                                                            
steamer(1)                                                  蒸籠(1)                                                                                                                         
sensation                                                   感覺                                                                                                                            
streak                                                      條紋                                                                                                                            
sensitivity                                                 靈敏度                                                                                                                         
stride                                                      步幅                                                                                                                            
strand                                                      鏈                                                                                                                               
sentiment                                                   情緒                                                                                                                            
strait                                                      海峽                                                                                                                            
submit                                                      提交                                                                                                                            
stylish                                                     時髦的                                                                                                                         
sergeant                                                    軍士                                                                                                                            
stutter                                                     口吃                                                                                                                            
sturdy                                                      結實的                                                                                                                         
series                                                      系列                                                                                                                            
sermon                                                      講道                                                                                                                            
server                                                      服務器                                                                                                                         
setting                                                     環境                                                                                                                            
strain                                                      拉緊                                                                                                                            
shutter                                                     快門                                                                                                                            
tramp                                                       流浪漢                                                                                                                         
trample                                                     踐踏                                                                                                                            
trench                                                      溝                                                                                                                               
tuna                                                        金槍魚                                                                                                                         
transparent                                                 透明的                                                                                                                         
treasury                                                    金庫                                                                                                                            
treaty                                                      條約                                                                                                                            
tribute                                                     貢                                                                                                                               
trifle                                                      瑣事                                                                                                                            
trim                                                        修剪                                                                                                                            
triple                                                      三倍                                                                                                                            
trot                                                        小跑                                                                                                                            
tyrant                                                      暴君                                                                                                                            
trout                                                       鱒魚                                                                                                                            
tuck                                                        抱膝                                                                                                                            
tuition                                                     學費                                                                                                                            
tin                                                         錫                                                                                                                               
temptation                                                  誘惑                                                                                                                            
tenant                                                      租戶                                                                                                                            
tentative                                                   暫定的                                                                                                                         
terminal                                                    終端                                                                                                                            
terrace                                                     陽台                                                                                                                            
token                                                       令牌                                                                                                                            
toil                                                        辛勞                                                                                                                            
toad                                                        蟾蜍                                                                                                                            
thigh                                                       大腿                                                                                                                            
tiptoe                                                      腳尖                                                                                                                            
trademark                                                   商標                                                                                                                            
thorn                                                       刺                                                                                                                               
tilt                                                        傾斜                                                                                                                            
tile                                                        瓦                                                                                                                               
tick                                                        打鉤                                                                                                                            
thrill                                                      快感                                                                                                                            
thrust                                                      推力                                                                                                                            
throng                                                      人群                                                                                                                            
throne                                                      王座                                                                                                                            
thriller                                                    驚悚片                                                                                                                         
tempt                                                       誘惑                                                                                                                            
traitor                                                     叛徒                                                                                                                            
torture                                                     酷刑                                                                                                                            
toxic                                                       有毒的                                                                                                                         
tournament                                                  比賽                                                                                                                            
tackle                                                      處理                                                                                                                            
tan                                                         棕褐色                                                                                                                         
tangle                                                      糾紛                                                                                                                            
torrent                                                     激流                                                                                                                            
tar                                                         柏油                                                                                                                            
tart                                                        酸                                                                                                                               
taunt                                                       嘲諷                                                                                                                            
tavern                                                      酒館                                                                                                                            
torment                                                     折磨                                                                                                                            
tempo                                                       速度                                                                                                                            
torch                                                       火炬                                                                                                                            
teller                                                      出納員                                                                                                                         
upright                                                     直立                                                                                                                            
umpire                                                      裁判                                                                                                                            
undergraduate                                               大學本科                                                                                                                      
underline                                                   強調                                                                                                                            
utter                                                       說出                                                                                                                            
upward(s)                                                   向上）                                                                                                                         
underneath                                                  下                                                                                                                               
understandable                                              可以理解的                                                                                                                   
undoubtedly                                                 無疑                                                                                                                            
upward                                                      向上                                                                                                                            
update                                                      更新                                                                                                                            
versus                                                      相對                                                                                                                            
vow                                                         發誓                                                                                                                            
visa                                                        簽證                                                                                                                            
violinist                                                   小提琴手                                                                                                                      
vine                                                        藤蔓                                                                                                                            
villain                                                     惡棍                                                                                                                            
vigorous                                                    蓬勃                                                                                                                            
vigor                                                       活力                                                                                                                            
viewer                                                      觀眾                                                                                                                            
videotape                                                   錄像帶                                                                                                                         
via                                                         通過                                                                                                                            
vacancy                                                     空缺                                                                                                                            
vacuum                                                      真空                                                                                                                            
vague                                                       模糊的                                                                                                                         
vanity                                                      虛榮                                                                                                                            
vapor                                                       汽                                                                                                                               
vegetation                                                  植被                                                                                                                            
veil                                                        面紗                                                                                                                            
velvet                                                      天鵝絨                                                                                                                         
vein                                                        靜脈                                                                                                                            
vibrate                                                     顫動                                                                                                                            
veto                                                        否決                                                                                                                            
venture                                                     冒險                                                                                                                            
vertical                                                    垂直的                                                                                                                         
verbal                                                      口頭                                                                                                                            
wholesome                                                   健康                                                                                                                            
widespread                                                  廣泛                                                                                                                            
widow/widower                                               寡婦/鰥夫                                                                                                                     
wig                                                         假髮                                                                                                                            
